age,gender,marital_status,monthly_income,living_expenses,current_debt,asset_value,dependents,housing_status,loan_amount,purpose,loan_term_months,repayment_method,package_id,is_on_time_payment
69,male,single,161.0,26.6,365.0,8964.0,0,rent,7424,bds,92,installment,1,0
56,female,single,102.7,23.6,129.0,7411.0,0,rent,4391,kinh_doanh,75,installment,8,1
40,female,single,168.8,28.7,360.0,4021.0,0,own,8350,tieu_dung,20,interest_only,7,0
31,male,married,164.0,36.8,582.0,9521.0,3,own,1227,bds,214,installment,10,1
29,female,divorced,45.6,10.8,34.0,1567.0,2,own,2311,o_to,76,interest_only,4,0
30,male,divorced,91.6,15.9,22.0,7925.0,0,own,8592,o_to,44,interest_only,5,0
30,female,divorced,91.6,27.9,337.0,6743.0,2,own,3867,kinh_doanh,107,interest_only,8,1
35,male,divorced,122.3,24.4,446.0,8670.0,1,own,8663,tieu_dung,10,installment,7,0
22,female,married,46.1,15.7,193.0,4408.0,1,own,2453,tieu_dung,15,interest_only,6,0
60,female,single,172.2,32.1,595.0,6289.0,0,own,6011,o_to,53,installment,4,0
24,female,single,48.2,16.7,99.0,2295.0,2,own,2796,o_to,12,installment,4,0
63,male,divorced,143.1,43.4,194.0,11991.0,0,own,1606,o_to,40,interest_only,5,1
30,male,single,157.0,31.7,409.0,10718.0,0,own,2894,o_to,81,installment,4,1
57,female,divorced,128.3,39.2,435.0,4094.0,3,own,8041,kinh_doanh,63,interest_only,8,0
55,male,single,43.9,9.5,136.0,514.0,0,rent,2576,o_to,12,interest_only,4,0
40,male,married,159.0,24.9,425.0,9283.0,0,own,5774,o_to,55,installment,5,0
38,male,single,186.8,28.5,169.0,17474.0,2,own,6052,kinh_doanh,14,interest_only,8,1
31,female,married,107.5,28.6,56.0,772.0,3,own,2723,o_to,60,installment,4,1
26,female,single,63.7,19.5,139.0,2838.0,3,stay_with_parents,5416,tieu_dung,42,installment,6,1
56,male,divorced,133.1,22.0,314.0,7332.0,1,own,2348,kinh_doanh,45,installment,9,1
48,male,single,76.8,26.4,70.0,3684.0,0,rent,3400,kinh_doanh,86,interest_only,8,1
51,female,divorced,126.9,34.1,159.0,10307.0,2,own,7345,o_to,20,interest_only,4,0
54,female,married,92.8,26.0,44.0,1936.0,1,own,4258,tieu_dung,22,interest_only,7,0
20,female,single,51.3,15.2,173.0,3977.0,1,own,1310,kinh_doanh,26,installment,8,0
18,male,single,54.0,18.6,244.0,2675.0,1,stay_with_parents,2321,bds,74,installment,2,0
33,male,married,200.0,47.8,412.0,4503.0,1,own,2717,o_to,24,installment,4,0
31,male,married,103.1,26.5,323.0,4519.0,2,stay_with_parents,3609,tieu_dung,36,installment,6,0
20,female,married,114.9,35.9,544.0,4533.0,1,rent,4939,bds,294,interest_only,1,1
53,male,single,76.2,16.1,80.0,831.0,2,rent,7279,o_to,79,interest_only,4,0
